Date,Open,High,Low,Close,Adj Close,Volume
2017-06-05,96.449997,96.540001,96.000000,96.209999,93.642914,47100
2017-06-06,95.470001,95.750000,95.000000,95.150002,92.611198,45200
2017-06-07,95.820000,96.529999,95.769997,96.529999,93.954369,32500
2017-06-08,94.989998,94.989998,94.150002,94.500000,91.978531,77300
2017-06-09,95.099998,95.160004,94.570000,94.949997,92.416527,39600
2017-06-12,95.889999,96.610001,95.839996,96.459999,93.886246,89200
2017-06-13,97.129997,99.010002,97.129997,98.900002,96.261131,122400
2017-06-14,100.650002,100.750000,99.550003,100.000000,97.331787,63700
2017-06-15,96.510002,97.260002,96.500000,97.000000,94.411835,71500
2017-06-16,97.379997,97.680000,97.070000,97.610001,95.005554,20400
2017-06-19,97.620003,97.959999,97.400002,97.660004,95.054222,19900
2017-06-20,97.110001,97.110001,95.550003,95.870003,93.311989,37200
2017-06-21,94.970001,95.410004,94.849998,95.379997,92.835060,21200
2017-06-22,94.940002,94.940002,94.500000,94.500000,91.978531,25700
2017-06-23,94.180000,94.739998,94.070000,94.389999,91.871468,47300
2017-06-26,94.389999,94.900002,94.349998,94.379997,91.861740,18000
2017-06-27,94.639999,95.699997,94.639999,95.080002,92.543060,31400
2017-06-28,95.790001,95.980003,95.449997,95.940002,93.380112,61000
2017-06-29,94.199997,94.199997,93.339996,93.889999,91.384811,56400
2017-06-30,96.309998,96.529999,95.629997,95.970001,93.409317,33200
2017-07-03,95.889999,96.059998,95.839996,95.860001,93.302246,179700
2017-07-05,100.089996,100.550003,99.970001,100.489998,97.808708,94000
2017-07-06,99.650002,100.699997,99.529999,100.129997,97.458313,76300
2017-07-07,99.739998,100.760002,99.519997,100.500000,97.818451,51900
2017-07-10,99.550003,99.989998,99.360001,99.900002,97.234451,180500
2017-07-11,99.660004,100.500000,99.300003,100.269997,97.594582,137900
2017-07-12,101.949997,102.150002,101.680000,101.849998,99.132423,124400
2017-07-13,102.750000,102.870003,102.260002,102.680000,99.940277,28900
2017-07-14,103.349998,103.599998,103.190002,103.599998,100.835732,21400
2017-07-17,104.480003,104.989998,104.099998,104.260002,101.478127,62800
2017-07-18,104.080002,104.389999,103.849998,104.169998,101.390518,22500
2017-07-19,103.610001,103.610001,103.010002,103.320000,100.563202,43600
2017-07-20,104.059998,104.650002,103.790001,104.570000,101.779854,14900
2017-07-21,103.860001,103.959999,103.000000,103.400002,100.641068,54800
2017-07-24,103.080002,103.080002,102.690002,102.949997,100.203072,78700
2017-07-25,103.330002,103.330002,102.879997,102.879997,100.134941,75200
2017-07-26,102.820000,103.669998,102.550003,103.269997,100.514534,120700
2017-07-27,103.660004,108.750000,103.180000,108.470001,105.575790,93600
2017-07-28,111.309998,113.379997,111.180000,113.070000,110.053047,61700
2017-07-31,113.529999,114.529999,113.099998,114.529999,111.474098,23300
2017-08-01,113.339996,114.040001,112.970001,113.320000,110.296379,44800
2017-08-02,113.980003,114.339996,113.589996,113.690002,110.656509,62700
2017-08-03,113.410004,114.839996,113.180000,114.820000,111.756355,63800
2017-08-04,117.779999,118.720001,117.430000,117.660004,114.520584,58400
2017-08-07,117.449997,117.599998,117.300003,117.379997,114.248047,37900
2017-08-08,117.029999,117.260002,116.440002,116.629997,113.518059,27600
2017-08-09,113.980003,114.440002,113.410004,113.940002,110.899841,37000
2017-08-10,112.680000,112.809998,111.949997,112.050003,109.060265,34600
2017-08-11,112.879997,113.599998,112.639999,113.250000,110.228249,28000
2017-08-14,113.500000,114.470001,113.480003,114.330002,111.279434,16400
2017-08-15,114.110001,114.470001,113.519997,114.419998,111.367027,31400
2017-08-16,113.620003,113.889999,113.110001,113.500000,110.471581,21700
2017-08-17,112.919998,113.010002,111.709999,111.980003,108.992142,34300
2017-08-18,109.059998,111.510002,107.820000,111.370003,108.398415,24900
2017-08-21,110.910004,111.050003,110.169998,111.000000,108.038284,40600
2017-08-22,111.690002,111.720001,111.239998,111.559998,108.583336,27800
2017-08-23,111.330002,111.650002,111.190002,111.639999,108.661201,67500
2017-08-24,112.000000,112.010002,110.870003,110.980003,108.018822,46000
2017-08-25,111.449997,112.220001,111.339996,111.690002,108.709869,16700
2017-08-28,111.080002,111.080002,110.690002,110.959999,107.999352,124600
2017-08-29,109.459999,110.190002,109.459999,109.919998,106.987099,90700
2017-08-30,111.010002,111.110001,110.370003,110.529999,107.580818,63100
2017-08-31,111.940002,112.190002,111.650002,112.099998,109.108932,137800
2017-09-01,113.769997,114.160004,112.910004,113.059998,110.043320,44000
2017-09-05,113.360001,113.790001,112.320000,112.720001,109.712387,35100
2017-09-06,113.870003,114.459999,113.860001,114.379997,111.328094,25900
2017-09-07,117.629997,117.639999,117.070000,117.199997,114.072845,85700
2017-09-08,117.220001,117.489998,116.980003,116.980003,113.858727,60600
2017-09-11,117.879997,118.370003,117.879997,118.050003,114.900177,52400
2017-09-12,118.150002,118.360001,118.019997,118.120003,114.968307,111100
2017-09-13,118.879997,118.980003,118.080002,118.150002,114.997505,66600
2017-09-14,117.110001,117.639999,117.029999,117.639999,114.501114,43900
2017-09-15,118.570000,118.650002,118.099998,118.199997,115.046165,49200
2017-09-18,117.709999,117.730003,117.370003,117.599998,114.462181,20400
2017-09-19,116.790001,116.900002,116.199997,116.800003,113.683533,44100
2017-09-20,116.000000,116.139999,114.709999,115.290001,112.213814,35500
2017-09-21,115.120003,115.650002,115.120003,115.430000,112.350082,9700
2017-09-22,115.470001,115.519997,114.779999,115.019997,111.951019,46000
2017-09-25,114.660004,114.879997,113.660004,113.800003,110.763573,123200
2017-09-26,112.599998,112.629997,110.059998,110.199997,107.259621,307300
2017-09-27,110.110001,110.610001,109.820000,110.510002,107.561356,60900
2017-09-28,110.589996,111.169998,110.589996,111.080002,108.116150,65300
2017-09-29,113.279999,113.279999,112.459999,113.199997,110.179581,65600
2017-10-02,115.160004,115.650002,115.000000,115.309998,112.233284,52600
2017-10-03,115.080002,115.559998,115.080002,115.470001,112.389015,16100
2017-10-04,114.519997,114.830002,114.279999,114.500000,111.444901,32400
2017-10-05,113.980003,113.980003,113.309998,113.570000,110.539703,148400
2017-10-06,112.550003,113.019997,112.430000,112.900002,109.887589,24200
2017-10-09,114.260002,114.690002,114.260002,114.379997,111.328094,22400
2017-10-10,114.669998,115.470001,114.669998,115.160004,112.087288,11000
2017-10-11,114.959999,115.150002,114.820000,115.000000,111.931557,17500
2017-10-12,114.559998,114.970001,114.410004,114.820000,111.756355,14700
2017-10-13,114.930000,115.080002,113.889999,114.019997,110.977699,35500
2017-10-16,113.610001,113.620003,113.010002,113.300003,110.276917,23500
2017-10-17,112.260002,112.639999,112.199997,112.620003,109.615059,14300
2017-10-18,111.769997,112.639999,111.459999,112.540001,109.537193,49300
2017-10-19,111.070000,111.120003,110.529999,110.610001,107.658684,20500
